PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
one_line,,,1 linea
two_lines,,,2 linee
new_channel,,,Nuovo canale
priority_order,,,Priorità
dmr_beep,,,D M R bip
start,,,Inizio
both,,,Ambedue
vox_threshold,,,Soglia VOX
vox_tail,,,Coda VOX
audio_prompt,,,Sintesi vocale
silent,,,Silenzioso
UNUSED_2,,,
beep,,,Bip
voice_prompt_level_1,,,Voce
transmitTalkerAlias,,,Trasmetti talker alias
squelch_VHF,,,V H F squelch
squelch_220,,,220 Megahertz squelch
squelch_UHF,,,U H F squelch
display_background_colour,,,Colore sfondo Display
openGD77,,,Open G D 77
openGD77S,,,Open G D 77 S
openDM1801,,,Open D M 18 0 1
openRD5R,,,Open R D 5 R
gitCommit,,,Git revision
voice_prompt_level_2,,,Voce 2
voice_prompt_level_3,,,Voce 3
dmr_filter,,,Filtro D M R
dmr_cc_filter,,,Filtro codice colore
dmr_ts_filter,,,Filtro Timeslot
dtmf_contact_list,,,Lista DTMF
channel_power,,,Vat canale
from_master,,,di base
set_quickkey,,,Imposta tasti
dual_watch,,,Doppio ascolto
info,,,Informazioni
pwr,,,Potenza
user_power,,,Volt amplificatore di potenza RF
temperature,,,Temperatura
celcius,,,Celcius
seconds,,,Secondi
radio_info,,,Informazioni radio 
temperature_calibration,,,Calibrazione temperatura 
pin_code,,,Inserire codice PIN 
please_confirm,,,Prego confermare
vfo_freq_bind_mode,,,Abbina le frequenze di trasmissione e ricezione 
overwrite_qm,,,Sovrascrivi ?
eco_level,,,Livello del risparmio energetico
buttons,,,Bottoni
leds,,,LED
scan_dwell_time,,,Tempo di permanenza della scansione
battery_calibration,,,Calibrazione livello batteria
low,,,Bassa
high,,,Alta
dmr_id,,,Identificativo DMR secondario
scan_on_boot,,,Scansione all'accensione
dtmf_entry,,,DTMF entry
name,,,Name
openDM1801A,,,Open D M 18 0 1 A
